timestamp,error_destination,connector_server,connection_type
2025-10-22,ServerA,Connector1,有線
2025-10-22,ServerA,Connector1,無線
2025-10-22,ServerA,Connector1,有線
2025-10-22,ServerA,Connector1,有線
2025-10-22,ServerA,Connector1,有線
2025-10-22,ServerA,Connector1,有線
2025-10-22,ServerA,Connector1,有線
2025-10-22,ServerA,Connector1,有線
2025-10-22,ServerA,Connector1,有線
2025-10-22,ServerA,Connector1,有線
2025-10-22,ServerA,Connector1,有線
2025-10-22,ServerA,Connector1,有線
2025-10-22,ServerA,Connector1,有線
2025-10-22,ServerA,Connector1,有線
2025-10-22,ServerA,Connector1,有線
2025-10-22,ServerA,Connector1,有線
2025-10-22,ServerA,Connector1,有線
2025-10-22,ServerA,Connector1,有線
2025-10-22,ServerA,Connector1,有線
2025-10-22,ServerA,Connector1,有線
2026-03-14,ServerA,Connector1,有線
